Key,Id,English(en),Korean(ko)
"Action/General/TabMenu",153294960254976,"Map/Objectives/Notes","맵/목표/노트"
"Action/Item/Close",153978224959488,"Close","닫기"
"Action/Item/Equip",154039403077632,"Equip","착용"
"Action/Item/Read",153926857318400,"Read","읽기"
"Action/Item/Toggle",153696342564864,"Toggle","켜기/끄기"
"Action/Item/Use",153874512404480,"Use","사용"
"Action/Lab/DropLabEquipment",154701138419712,"Drop Lab Equipment","실험 기구 내려놓기"
"Action/Lab/HoldLabEquipment",154478303436800,"Hold Lab Equipment","실험 기구 들기"
"Action/Lab/InsertSample",154175155920896,"Insert Sample","샘플 넣기"
"Action/Lab/Inspect",154354168815616,"Inspect","자세히 보기"
"Action/Lab/Mix",154648122417152,"Mix","섞기"
"Action/Lab/Pour",154099863969792,"Pour","붓기"
"Action/Lab/RetrieveSample",154407788797952,"Retrieve Sample","샘플 회수"
"Action/Lab/SelectSlot",153602390155264,"Select Slot","슬롯 전환/선택"
"Action/Lab/StartSynthesizer",154583899234304,"Start Synthesizer","조합 기계 작동"
"Action/Lab/UseCure",154790632284160,"Use Cure","치료제 사용"
"Action/Lab/UseLabEquipment",154243577602048,"Use Lab Equipment","실험 기구 사용"
"Action/Puzzle/PlayRecording",155272922718208,"Play Recording","녹음 재생"
"Action/Puzzle/RepairEngine",154890955841536,"Repair Engine","엔진 수리"
"Action/Puzzle/ReplaceBattery",155068429426688,"Replace Battery","배터리 교체"
"Action/Puzzle/TransmitFinalMessage",155177007374336,"Transmit Final Message","최종 메시지 송신"
"Action/Puzzle/Unscrew",154987592605696,"Unscrew","나사 제거"
"CrewRoom1LockerKey",176368967409664,"","라커 열쇠"
"Item/Name/BackroomEsacapeHintMemo",175919740674048,"Trash Can Note","쓰레기통 메모"
"Item/Name/BioDataExtractor",176215418134528,"Biodata Extractor","생체 데이터 추출기"
"Item/Name/BlueBattery",176851828269056,"Blue Battery","청색 배터리"
"Item/Name/EnergyBar",178733778919424,"Energy Bar","에너지바"
"Item/Name/EscapeDoorHydraulicValve",178828406611968,"Escape Door Hydraulic Valve","탈출실 문 유압 밸브"
"Item/Name/EscapeRoomDoorKey",178920953929728,"Escape Room Door Key","탈출실 문 열쇠"
"Item/Name/Flashlight",179038826455040,"Flashlight","손전등"
"Item/Name/FlashlightBattery",179180459712512,"Flashlight Battery","손전등 배터리"
"Item/Name/Fuse",179274273710080,"Fuse","퓨즈"
"Item/Name/GreenBattery",178032877166592,"Green Battery","녹색 배터리"
"Item/Name/Hammer",179335112089600,"Hammer","망치"
"Item/Name/KeyPadManual",179391659696128,"Keypad Manual","키패드 매뉴얼"
"Item/Name/LabIDCHM",179760074776576,"Senior Chemist ID Card","수석 화학 연구원증"
"Item/Name/LabIDSEC",180092150407168,"Security Researcher ID Card","보안 연구원증"
"Item/Name/LockerKey",176669329907712,"Locker Key","라커 열쇠"
"Item/Name/MedicalKit",180160597254144,"Medical Kit","의료 키트"
"Item/Name/MorseCodeChart",180322233147392,"Morse Code Chart","모스부호 표"
"Item/Name/PetriDish",180618145488896,"Petri Dish","페트리 접시"
"Item/Name/RadarSystemManual",180694418907136,"Radar System Manual","레이더 시스템 매뉴얼"
"Item/Name/RedBattery",178614698434560,"Red Battery","적색 배터리"
"Item/Name/Screwdriver",180787830251520,"Screwdriver","드라이버"
"Item/Name/ThermalSyringe",180858227449856,"Thermal Recovery Syringe","급속 체온 회복 주사기"
"Item/Name/Thermometer",181037844324352,"Thermometer","체온계"
"Item/Name/ToolKit",181108375740416,"Toolbox","공구상자"
"Item/Name/YellowBattery",178684923666432,"Yellow Battery","황색 배터리"
"Menu/BackText",121028192165888,"Back [Esc]","뒤로 가기 [Esc]"
"Menu/Conrtols/EquipUnequipItem",123918189256704,"Equip/Unequip Item","인벤토리 아이템 들기/해제"
"Menu/Controls",118126161616896,"Controls","조작법"
"Menu/Controls/Dodge",123598281302016,"Dodge","회피"
"Menu/Controls/DropItem",124572903333888,"Drop Item","아이템 버리기"
